library,,Dask,Dask,Dask,Pandas,Pandas,Pandas,Polars,Polars,Polars,Vaex,Vaex,Vaex
version,,2022.1.0,2024.8.0,2025.1.0,1.0.0,2.0.0,2.2.3,0.20.0,1.0.0,1.31.0,4.13.0,4.15.0,4.17.0
dataset,function,,,,,,,,,,,,
Water Potability,drop,1.0,1.0,5.0,1.0,1.0,1.0,3.0,3.0,4.0,0.0,0.0,0.0
Water Potability,dropna,0.0,0.0,6.0,3.0,1.0,4.0,0.0,0.0,1.0,1.0,3.0,5.0
Water Potability,fillna,4.0,2.0,3.0,5.0,2.0,6.0,1.0,1.0,1.0,0.0,0.0,2.0
Water Potability,groupby,0.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,1.0,1.0,2.0
Water Potability,isna,0.0,0.0,0.0,2.0,2.0,0.0,4.0,2.0,5.0,8.0,0.0,0.0
Water Potability,load_csv,1.0,6.0,1.0,0.0,5.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0
Water Potability,load_json,1.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,5.0,5.0,1.0,2.0
Water Potability,max,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0
Water Potability,mean,0.0,1.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,2.0,1.0
Water Potability,merge,1.0,1.0,3.0,3.0,2.0,1.0,3.0,0.0,1.0,5.0,6.0,3.0
Water Potability,min,0.0,0.0,1.0,0.0,2.0,4.0,,,,1.0,6.0,3.0
Water Potability,replace,0.0,0.0,0.0,0.0,2.0,2.0,,,,0.0,0.0,0.0
Water Potability,save_csv,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0
Water Potability,save_json,2.0,2.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,6.0,0.0,1.0
Water Potability,sort,3.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,4.0,2.0,1.0,1.0
Water Potability,sum,2.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,8.0,1.0
Water Potability,unique,1.0,1.0,1.0,0.0,5.0,1.0,2.0,2.0,2.0,3.0,4.0,1.0
