library,dataset,version,vkey,itr,category,energy,duration
Dask,Adult,2024.8.0,v1,10,Missing,0.007752,0.0010187625885009
Dask,Adult,2024.8.0,v1,10,Missing,0.010681,0.0015578269958496
Dask,Adult,2024.8.0,v1,10,Missing,0.007446,0.0012447834014892
Dask,Adult,2024.8.0,v1,10,Missing,0.002624,0.000981330871582
Dask,Adult,2024.8.0,v1,10,Row/Column,0.005431,0.001432180404663
Dask,Adult,2024.8.0,v1,10,Aggregation,0.004029,0.0008058547973632
Dask,Adult,2024.8.0,v1,10,Row/Column,0.082459,0.0100314617156982
Dask,Adult,2024.8.0,v1,10,Row/Column,0.002197,0.0007631778717041
Dask,Adult,2024.8.0,v1,10,Row/Column,0.099915,0.0125420093536376
Dask,Adult,2024.8.0,v1,10,Aggregation,0.520934,0.0647766590118408
Dask,Adult,2024.8.0,v1,10,Aggregation,0.23468,0.0251638889312744
Dask,Adult,2024.8.0,v1,10,Aggregation,0.240051,0.026914358139038
Dask,Adult,2024.8.0,v1,10,Aggregation,0.221313,0.0245990753173828
Dask,Adult,2024.8.0,v1,10,Aggregation,0.193115,0.0216064453125
Dask,Adult,2024.8.0,v1,10,Row/Column,0.309874,0.0339124202728271
Dask,Adult,2022.1.0,v2,10,I/O,0.125609,0.0136098861694335
Dask,Adult,2022.1.0,v2,10,I/O,2.324395,0.2538180351257324
Dask,Adult,2022.1.0,v2,10,I/O,3.061027,0.3374853134155273
Dask,Adult,2022.1.0,v2,10,I/O,2.8919,0.3126704692840576
Dask,Adult,2022.1.0,v2,10,Missing,0.008484,0.0014140605926513
Dask,Adult,2022.1.0,v2,10,Missing,0.034485,0.0049986839294433
Dask,Adult,2022.1.0,v2,10,Missing,0.028992,0.0043892860412597
Dask,Adult,2022.1.0,v2,10,Missing,0.0083,0.0014646053314208
Dask,Adult,2022.1.0,v2,10,Row/Column,0.029968,0.0041587352752685
Dask,Adult,2022.1.0,v2,10,Aggregation,0.0,0.0006740093231201
Dask,Adult,2022.1.0,v2,10,Row/Column,0.121155,0.0145859718322753
Dask,Adult,2022.1.0,v2,10,Row/Column,0.028931,0.0039794445037841
Dask,Adult,2022.1.0,v2,10,Row/Column,0.245544,0.0343923568725585
Dask,Adult,2022.1.0,v2,10,Aggregation,0.501281,0.0591318607330322
Dask,Adult,2022.1.0,v2,10,Aggregation,0.20636,0.0228116512298584
Dask,Adult,2022.1.0,v2,10,Aggregation,0.21759,0.0241580009460449
Dask,Adult,2022.1.0,v2,10,Aggregation,0.208313,0.0227479934692382
Dask,Adult,2022.1.0,v2,10,Aggregation,0.202941,0.0224838256835937
Dask,Adult,2022.1.0,v2,10,Row/Column,0.200988,0.0224161148071289
Dask,Adult,2022.1.0,v2,10,I/O,0.067566,0.005526065826416
Dask,Adult,2022.1.0,v2,10,I/O,1.935176,0.2027714252471923
Dask,Adult,2022.1.0,v2,10,I/O,3.045524,0.338932991027832
Dask,Adult,2022.1.0,v2,10,I/O,2.781915,0.3001949787139892
